ID,Alloy,Diff. Lattice Constants,Diff. Melting Point,Mixing Enthalpy,Lattice Constants,Lambda,Diff. in atomic radii,Omega,Melting Temp.,Diff. Electronegativity Allen,Diff. Electronegativity Pauling,Diff. Shear modulus,Avg shear modulus,Mixing Entropy,Valence electron,YS (MPa)
59,Al1.5MoNbTiV,0.43449028,751.1541626,-23.88662649,3.364115459,9841.093613,0.036699748,1126.983389,2030.966673,0.088580425,0.219191945,0.650463238,53.582354,13.25468883,4.45459,500
60,AlCr0.5NbTiV,0.429913158,623.7525584,-22.97514543,3.285678254,4801.466383,0.05232487,1131.309978,1977.195783,0.102636688,0.037646644,0.530649172,47.477303,13.14589657,4.4444,1300
61,AlMoNbTiV,0.394943184,698.6842252,-19.79024,3.29554,9284.149311,0.037964978,1447.477906,2140.694,0.083889451,0.227982455,0.628690959,56.32,13.38161136,4.6,1375
62,AlMoTaTiV,0.394945563,816.3490323,-19.91248,3.29572,9248.84583,0.038037366,1511.17034,2248.694,0.09898606,0.240615876,0.547252635,62.66,13.38161136,4.6,735
63,AlNb1.5Ta0.5Ti1.5Zr0.5,0.390921579,787.2051688,-22.28772,3.33859,10074.85793,0.035239954,1198.956165,2135.794,0.098144995,0.081516869,0.278351562,40.59,12.51150593,4.2,1280
64,AlNbTaTiV,0.388099972,795.005429,-20.52672,3.3264,10519.93743,0.035665443,1446.914369,2219.494,0.101452649,0.048414874,0.313766308,45.04,13.38161136,4.4,991
65,AlNbTiV,0.433682034,657.2079752,-24.487,3.332675,7398.549696,0.0394704,918.7648959,1951.8675,0.093603886,0.03354102,0.210248593,39,11.52629264,4.25,1000
66,CoCrMoNbTi0.4,0.285398689,450.3617679,-12.52935303,2.964702143,3346.130062,0.062357535,2447.543311,2356.88469,0.171420689,0.224941549,0.408890334,86.053604,13.01130018,6.27266,1771.3
67,Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64,0.141549967,520.376987,2.434493784,3.221532931,6036.616698,0.045405619,13666.55569,2673.3446,0.071378056,0.107803756,0.271385724,49.840837,12.44551297,4.61478,882
68,Hf0.5Mo0.5NbTiZr,0.132314283,366.7124214,-0.2274375,3.163725,3864.472004,0.057926328,135692.8763,2380,0.092736185,0.261689224,0.524893481,52.225,12.96707922,4.5,1176
69,Hf0.5Nb0.5Ta0.5Ti1.5Zr,0.16178714,477.5106511,1.807625,3.1393125,4843.614803,0.050644588,16000.50339,2328.125,0.091506489,0.126787223,0.229938294,46.1875,12.42326333,4.25,903
70,Hf0.75NbTa0.5Ti1.5Zr1.25,0.144670241,433.7159785,2.27077,3.16291,5110.24273,0.050128811,13398.15246,2369.2,0.087030167,0.124842901,0.22896699,45.25,12.84151724,4.3,1100
71,HfMo0.25NbTaTiZr,0.128363569,472.1358188,1.534138461,3.193901972,5019.729188,0.053441408,23743.46914,2540.81272,0.090797334,0.205727366,0.370563821,52.324856,14.33626687,4.47628,1112
72,HfMo0.5NbTaTiZr,0.124737074,466.9197623,0.61045849,3.191741008,4816.678412,0.055240302,61563.48943,2556.93466,0.093225512,0.23769326,0.415038015,55.655102,14.69805051,4.5455,1137
73,HfMo0.5NbTiV0.5,0.138770908,349.3814177,-0.73225,3.134025,2834.557691,0.06763608,43104.80262,2434.125,0.136867865,0.273541587,0.434351113,56.3125,12.96707922,4.625,1260
74,HfMoNbTaTiZr,0.119320127,456.5854884,-0.810254631,3.188047093,4453.966833,0.057834286,47532.8049,2585.21837,0.096552621,0.284397913,0.502604301,61.484563,14.89764879,4.66676,1512
75,HfMoNbTiZr,0.118332792,361.8421755,-1.51248,3.16532,3599.460392,0.060972711,21624.96991,2444.2,0.105716602,0.309554519,0.561213215,59.94,13.38161136,4.6,1719
76,HfMoTaTiZr,0.118538635,493.5975689,-1.84224,3.1655,3610.548289,0.060879016,18538.59894,2552.2,0.101113797,0.311229819,0.478973975,66.28,13.38161136,4.6,1600
77,HfNb0.18Ta0.18Ti1.27Zr,0.166329934,414.8346152,0.87743011,3.130640823,5674.149472,0.044897901,29398.20291,2255.17618,0.092273399,0.114760626,0.212198759,46.313549,11.43807239,4.09918,540
78,HfNbTaTiZr,0.129156098,476.4149452,2.644,3.19618,5364.617133,0.049944175,12769.21538,2523,0.086810138,0.118253964,0.259342454,48.66,13.38161136,4.4,1073
79,HfNbTaZr,0.045117368,421.737774,3.309,3.257525,4007.181498,0.053632163,9295.228745,2668.5,0.091480872,0.123161479,0.28335996,49.425,11.52629264,4.5,1315
80,HfNbTiVZr,0.130576666,288.8173125,0.16176,3.14192,2679.136952,0.070673524,190400.0785,2301.6,0.12116105,0.138130373,0.16854034,44.16,13.38161136,4.4,1253
81,HfNbTiZr,0.131903108,316.0279853,2.3765,3.1699,4855.189246,0.048723866,11306.82505,2331.25,0.096533673,0.129687123,0.188379085,43.525,11.52629264,4.25,879
82,HfTaTiZr,0.132126102,517.3114995,1.68,3.170125,4896.451135,0.048518136,16920.66621,2466.25,0.083666003,0.10401322,0.245965787,51.45,11.52629264,4.25,1500
83,Mo0.1NbTiV0.3Zr,0.146872947,342.8493003,0.794343759,3.149119254,3141.096913,0.060825948,33406.678,2283.40356,0.059138209,0.160398107,0.357484467,42.550276,11.62141754,4.44122,932
84,Mo0.3NbTiV0.3Zr,0.142735264,361.5334465,-0.222562794,3.148972706,3203.958774,0.062006519,128266.3841,2317.41489,0.060529473,0.213660889,0.510809156,47.163577,12.31860765,4.52777,1312
85,Mo0.3NbTiVZr,0.137789428,334.5041522,-1.111652112,3.129635982,2612.249861,0.070071163,26485.79023,2295.55904,0.075336259,0.19732646,0.468160888,47.089,12.8260629,4.6047,1289
86,Mo0.5NbTiV0.3Zr,0.138929297,374.8602942,-1.035597716,3.148899672,3206.53746,0.06280598,28676.44174,2347.89157,0.061457909,0.247689061,0.570622894,51.292609,12.64847915,4.60531,1301
87,Mo0.5NbTiVZr,0.134739123,349.6138433,-1.610634453,3.130346474,2706.46804,0.069693721,18953.6414,2322.199,0.074535227,0.228088078,0.532784326,50.577272,13.14589657,4.66662,1473
88,Mo0.7NbTiV0.3Zr,0.1354115,384.4013519,-1.68885,3.148775,3191.577419,0.063319166,17996.93589,2375.275,0.062046354,0.271583205,0.596349439,55.0075,12.79604474,4.675,1436
89,Mo0.7NbTiVZr,0.131885766,361.17278,-2.022651936,3.131147744,2774.388466,0.069260875,15441.05613,2346.68578,0.073723432,0.250584903,0.565498092,53.77136,13.30893226,4.7235,1706
90,Mo1.3NbTiV0.3Zr,0.126273078,399.0556495,-2.987997247,3.148543118,3130.573413,0.063754707,10404.62812,2443.19623,0.062540979,0.312228934,0.603313308,64.215349,12.72472502,4.84783,1603
91,Mo1.3NbTiVZr,0.124297767,382.0648,-2.878781357,3.132886736,2904.372829,0.067749428,11154.77432,2408.82824,0.071284892,0.291552097,0.59088459,61.901632,13.33102784,4.86792,1496
